step,avg_reward,,,avg_reward,Webster,,DRL,Webster,AVG
0,-199.47905,-199.47905,,-199.47905,-193.3431787,,-199.47905,-193.3431787,-192.229972
1,-200.25276,-200.25276,,-200.25276,-191.7094321,,-200.25276,-191.7094321,-192.229972
2,-199.98897,-199.98897,,-199.98897,-192.1250761,,-199.98897,-192.1250761,-192.229972
3,-200.47577,-200.47577,,-200.47577,-193.2838731,,-200.47577,-193.2838731,-192.229972
4,-198.9928,-198.9928,,-198.9928,-192.7252945,,-198.9928,-192.7252945,-192.229972
5,-199.14821,-199.14821,,-199.14821,-192.3972002,,-199.14821,-192.3972002,-192.229972
6,-197.7138,-197.7138,,-197.7138,-190.9944249,,-197.7138,-190.9944249,-192.229972
7,-196.63371,-196.63371,,-196.63371,-190.0596634,,-196.63371,-190.0596634,-192.229972
8,-194.78719,-194.78719,,-194.78719,-191.772959,,-194.78719,-191.772959,-192.229972
9,-192.34155,-192.34155,,-192.34155,-193.1194477,,-192.34155,-193.1194477,-192.229972
10,-193.43939,-193.43939,,-193.43939,-190.2847806,,-193.43939,-190.2847806,-192.229972
11,-192.88269,-192.88269,,-192.88269,-192.858473,,-192.88269,-192.858473,-192.229972
12,-188.1894,-188.1894,,-188.1894,-192.9393569,,-188.1894,-192.9393569,-192.229972
13,-189.36314,-189.36314,,-189.36314,-191.5785008,,-189.36314,-191.5785008,-192.229972
14,-191.5177,-191.5177,,-191.5177,-191.7145732,,-191.5177,-191.7145732,-192.229972
15,-223.79004,-193.43939,-192.93939,-192.93939,-191.8363098,,-192.93939,-191.8363098,-192.229972
16,-235.5865,-192.88269,-192.38269,-192.38269,-191.8016001,,-192.38269,-191.8016001,-192.229972
17,-235.10356,-188.1894,-187.6894,-187.6894,-192.3878824,,-187.6894,-192.3878824,-192.229972
18,-240.13397,-189.36314,-188.86314,-188.86314,-192.5672454,,-188.86314,-192.5672454,-192.229972
19,-236.3335,-191.5177,-191.0177,-191.0177,-193.5601396,,-191.0177,-193.5601396,-192.229972
20,-239.88692,,,-193.88692,-193.77,,-193.88692,-193.77,-192.229972
