step,avg_reward
0,-217.30983
1,-217.99236
2,-217.86583
3,-217.37592
4,-217.29451
5,-217.12233
6,-216.73828
7,-216.97095
8,-215.97893
9,-216.02405
10,-214.95534
11,-215.35197
12,-215.74016
13,-216.20691
14,-215.62984
15,-215.91808
16,-213.75801
17,-213.78337
18,-212.34227
19,-213.59468
20,-212.63268
21,-214.14948
22,-213.32983
23,-214.35112
24,-212.76762
25,-212.86348
26,-210.77672
27,-209.67944
28,-209.07945
29,-207.023
30,-205.57808
31,-203.31941
32,-205.14708
33,-206.29866
34,-221.09547
35,-224.54047
36,-229.49622
37,-228.42131
38,-227.80919
39,-230.25127
40,-228.88286
