step,avg_reward
0,-202.37398
1,-202.09184
2,-199.87271
3,-200.35405
4,-199.85919
5,-198.82262
6,-197.61403
7,-197.35538
8,-197.66458
9,-198.28113
10,-196.93086
11,-198.98445
12,-197.24629
13,-198.63162
14,-198.91113
15,-197.22523
16,-198.37807
17,-198.97505
18,-197.7437
19,-199.05237
20,-198.43678
21,-197.74492
22,-197.10687
23,-197.21567
24,-198.05846
25,-197.36668
26,-198.26883
27,-197.69882
28,-198.55916
29,-197.48944
30,-197.41428
31,-196.33678
32,-198.14224
33,-197.35948
34,-199.03755
35,-197.42952
36,-198.72484
37,-198.05159
38,-198.50728
39,-197.30989
40,-198.3822
41,-198.76717
42,-198.81477
43,-198.3473
44,-197.99046
45,-198.28683
46,-198.47856
47,-198.79071
48,-197.81732
49,-196.04688
50,-199.41112
51,-197.59134
52,-196.48921
53,-199.32901
54,-197.25847
55,-197.51448
56,-198.23209
57,-197.3761
58,-198.04083
59,-198.5848
60,-197.42068
