step,train_loss
0,
1,"tf.Tensor(8.485768, shape=(), dtype=float32)"
2,"tf.Tensor(5.7351284, shape=(), dtype=float32)"
3,"tf.Tensor(5.7109594, shape=(), dtype=float32)"
4,"tf.Tensor(5.7861643, shape=(), dtype=float32)"
5,"tf.Tensor(5.694887, shape=(), dtype=float32)"
6,"tf.Tensor(5.6311197, shape=(), dtype=float32)"
7,"tf.Tensor(5.824436, shape=(), dtype=float32)"
8,"tf.Tensor(5.698941, shape=(), dtype=float32)"
9,"tf.Tensor(5.724608, shape=(), dtype=float32)"
10,"tf.Tensor(5.770831, shape=(), dtype=float32)"
11,"tf.Tensor(5.7959843, shape=(), dtype=float32)"
12,"tf.Tensor(5.783642, shape=(), dtype=float32)"
13,"tf.Tensor(5.7165356, shape=(), dtype=float32)"
14,"tf.Tensor(5.7318277, shape=(), dtype=float32)"
15,"tf.Tensor(5.7579055, shape=(), dtype=float32)"
16,"tf.Tensor(5.9524717, shape=(), dtype=float32)"
17,"tf.Tensor(5.8425155, shape=(), dtype=float32)"
18,"tf.Tensor(5.694076, shape=(), dtype=float32)"
19,"tf.Tensor(5.7564964, shape=(), dtype=float32)"
20,"tf.Tensor(5.9410806, shape=(), dtype=float32)"
21,"tf.Tensor(5.7562013, shape=(), dtype=float32)"
22,"tf.Tensor(5.9197063, shape=(), dtype=float32)"
23,"tf.Tensor(5.798222, shape=(), dtype=float32)"
24,"tf.Tensor(5.960738, shape=(), dtype=float32)"
25,"tf.Tensor(5.892615, shape=(), dtype=float32)"
26,"tf.Tensor(5.9874835, shape=(), dtype=float32)"
27,"tf.Tensor(5.8990507, shape=(), dtype=float32)"
28,"tf.Tensor(6.013012, shape=(), dtype=float32)"
29,"tf.Tensor(5.9800634, shape=(), dtype=float32)"
30,"tf.Tensor(6.003639, shape=(), dtype=float32)"
31,"tf.Tensor(6.0130825, shape=(), dtype=float32)"
32,"tf.Tensor(5.8704906, shape=(), dtype=float32)"
33,"tf.Tensor(5.963816, shape=(), dtype=float32)"
34,"tf.Tensor(6.159188, shape=(), dtype=float32)"
35,"tf.Tensor(6.116213, shape=(), dtype=float32)"
