step,train_loss
0,
1,"tf.Tensor(5.7028484, shape=(), dtype=float32)"
2,"tf.Tensor(5.6725454, shape=(), dtype=float32)"
3,"tf.Tensor(5.449745, shape=(), dtype=float32)"
4,"tf.Tensor(5.3137016, shape=(), dtype=float32)"
5,"tf.Tensor(4.813987, shape=(), dtype=float32)"
6,"tf.Tensor(5.00977, shape=(), dtype=float32)"
7,"tf.Tensor(3.7249057, shape=(), dtype=float32)"
8,"tf.Tensor(8.738948, shape=(), dtype=float32)"
9,"tf.Tensor(8.324644, shape=(), dtype=float32)"
10,"tf.Tensor(9.975751, shape=(), dtype=float32)"
11,"tf.Tensor(8.819834, shape=(), dtype=float32)"
12,"tf.Tensor(6.5083528, shape=(), dtype=float32)"
13,"tf.Tensor(6.4171677, shape=(), dtype=float32)"
14,"tf.Tensor(6.336754, shape=(), dtype=float32)"
15,"tf.Tensor(5.7498655, shape=(), dtype=float32)"
16,"tf.Tensor(5.544183, shape=(), dtype=float32)"
17,"tf.Tensor(5.6889696, shape=(), dtype=float32)"
18,"tf.Tensor(5.8423653, shape=(), dtype=float32)"
19,"tf.Tensor(5.6998005, shape=(), dtype=float32)"
20,"tf.Tensor(5.7110214, shape=(), dtype=float32)"
21,"tf.Tensor(5.6526127, shape=(), dtype=float32)"
22,"tf.Tensor(5.7032375, shape=(), dtype=float32)"
23,"tf.Tensor(5.668729, shape=(), dtype=float32)"
24,"tf.Tensor(5.5753555, shape=(), dtype=float32)"
25,"tf.Tensor(5.7064705, shape=(), dtype=float32)"
26,"tf.Tensor(5.811222, shape=(), dtype=float32)"
27,"tf.Tensor(5.7874794, shape=(), dtype=float32)"
28,"tf.Tensor(5.5255995, shape=(), dtype=float32)"
29,"tf.Tensor(5.601774, shape=(), dtype=float32)"
30,"tf.Tensor(5.630822, shape=(), dtype=float32)"
31,"tf.Tensor(5.601654, shape=(), dtype=float32)"
32,"tf.Tensor(5.594307, shape=(), dtype=float32)"
33,"tf.Tensor(5.7336354, shape=(), dtype=float32)"
34,"tf.Tensor(5.5974674, shape=(), dtype=float32)"
35,"tf.Tensor(5.6636624, shape=(), dtype=float32)"
36,"tf.Tensor(5.5680366, shape=(), dtype=float32)"
37,"tf.Tensor(5.6394224, shape=(), dtype=float32)"
38,"tf.Tensor(5.6789293, shape=(), dtype=float32)"
39,"tf.Tensor(5.582941, shape=(), dtype=float32)"
40,"tf.Tensor(5.5164275, shape=(), dtype=float32)"
41,"tf.Tensor(5.7039557, shape=(), dtype=float32)"
42,"tf.Tensor(5.573995, shape=(), dtype=float32)"
43,"tf.Tensor(5.6261296, shape=(), dtype=float32)"
44,"tf.Tensor(5.6858816, shape=(), dtype=float32)"
45,"tf.Tensor(5.653454, shape=(), dtype=float32)"
46,"tf.Tensor(5.7215652, shape=(), dtype=float32)"
47,"tf.Tensor(5.698538, shape=(), dtype=float32)"
48,"tf.Tensor(5.6863194, shape=(), dtype=float32)"
49,"tf.Tensor(5.806983, shape=(), dtype=float32)"
50,"tf.Tensor(5.71147, shape=(), dtype=float32)"
51,"tf.Tensor(5.6277018, shape=(), dtype=float32)"
52,"tf.Tensor(5.585221, shape=(), dtype=float32)"
53,"tf.Tensor(5.595994, shape=(), dtype=float32)"
54,"tf.Tensor(5.62387, shape=(), dtype=float32)"
55,"tf.Tensor(5.654221, shape=(), dtype=float32)"
56,"tf.Tensor(5.646285, shape=(), dtype=float32)"
57,"tf.Tensor(5.5570555, shape=(), dtype=float32)"
58,"tf.Tensor(5.568994, shape=(), dtype=float32)"
59,"tf.Tensor(5.5855803, shape=(), dtype=float32)"
60,"tf.Tensor(5.531534, shape=(), dtype=float32)"
61,"tf.Tensor(5.518254, shape=(), dtype=float32)"
62,"tf.Tensor(5.475439, shape=(), dtype=float32)"
63,"tf.Tensor(5.535255, shape=(), dtype=float32)"
64,"tf.Tensor(5.552169, shape=(), dtype=float32)"
65,"tf.Tensor(5.5358458, shape=(), dtype=float32)"
66,"tf.Tensor(5.5768685, shape=(), dtype=float32)"
67,"tf.Tensor(5.564919, shape=(), dtype=float32)"
68,"tf.Tensor(5.577636, shape=(), dtype=float32)"
69,"tf.Tensor(5.629867, shape=(), dtype=float32)"
70,"tf.Tensor(5.6939335, shape=(), dtype=float32)"
71,"tf.Tensor(5.653017, shape=(), dtype=float32)"
72,"tf.Tensor(5.6065197, shape=(), dtype=float32)"
73,"tf.Tensor(5.8016567, shape=(), dtype=float32)"
